Year,Country of Asylum Code,Country of Asylum Name,Procedure Type,Application Type Code,Application Data Type,Number of Applications
2000,ARG,Argentina,G,V,P,12
2000,AUS,Australia,G,V,C,155
2000,AUS,Australia,G,V,C,187
2000,AUT,Austria,G,V,P,90
2000,AZE,Azerbaijan,U,V,P,5
2000,BEL,Belgium,G,V,P,1588
2000,BLR,Belarus,G,V,P,5
2000,BGR,Bulgaria,G,V,P,5
2000,CAN,Canada,G,V,P,573
2000,CZE,Czechia,G,V,C,121
2000,CZE,Czechia,G,V,C,1144
2000,DNK,Denmark,G,V,P,64
2000,FIN,Finland,G,V,P,84
2000,FRA,France,G,V,P,366
2000,FRA,France,G,V,P,539
2000,GBR,United Kingdom of Great Britain and Northern Ireland,G,V,C,770
2000,DEU,Germany,G,V,P,512
2000,DEU,Germany,G,V,P,128
2000,HUN,Hungary,G,V,P,41
2000,ISL,Iceland,G,V,P,7
2000,ISL,Iceland,G,V,P,6
2000,IRL,Ireland,G,V,P,248
2000,ITA,Italy,G,V,P,22
2000,LUX,Luxembourg,G,V,P,9
2000,MEX,Mexico,U,V,P,5
2000,NLD,Netherlands,G,V,P,218
2000,NOR,Norway,G,V,P,131
2000,POL,Poland,G,V,P,69
2000,RUS,Russian Federation,G,V,P,5
2000,ESP,Spain,G,V,P,306
2000,SVK,Slovakia,G,V,P,5
2000,SWE,Sweden,G,V,P,110
2000,CHE,Switzerland,G,V,P,99
2000,USA,United States of America,G,N,C,235
2000,USA,United States of America,G,N,C,199
2001,ARG,Argentina,G,V,P,12
2001,AUS,Australia,G,V,C,101
2001,AUS,Australia,G,V,C,114
2001,AUT,Austria,G,V,P,191
2001,AZE,Azerbaijan,U,V,P,5
2001,BEL,Belgium,G,V,P,5
2001,BEL,Belgium,G,V,P,576
2001,CAN,Canada,G,V,P,344
2001,CYP,Cyprus,U,V,P,23
2001,CZE,Czechia,G,V,C,1250
2001,CZE,Czechia,G,V,C,4416
2001,DNK,Denmark,G,V,P,60
2001,ECU,Ecuador,G,V,P,5
2001,FIN,Finland,G,V,P,138
2001,FRA,France,G,V,P,568
2001,FRA,France,G,V,P,892
2001,GBR,United Kingdom of Great Britain and Northern Ireland,G,V,C,440
2001,DEU,Germany,G,V,P,678
2001,DEU,Germany,G,V,P,115
2001,GRC,Greece,G,V,P,6
2001,HUN,Hungary,G,V,P,30
2001,IRL,Ireland,G,V,P,376
2001,ITA,Italy,G,V,P,68
2001,LUX,Luxembourg,G,V,P,18
2001,NLD,Netherlands,G,V,P,191
2001,NOR,Norway,G,V,P,1027
2001,POL,Poland,G,V,P,83
2001,POL,Poland,G,V,P,144
2001,RUS,Russian Federation,G,V,P,6
2001,ESP,Spain,G,V,P,178
2001,SVK,Slovakia,G,V,P,8
2001,SVN,Slovenia,G,V,P,7
2001,SWE,Sweden,G,V,P,332
2001,CHE,Switzerland,G,V,P,153
2001,USA,United States of America,G,N,C,307
2001,USA,United States of America,G,N,C,246
2002,AUS,Australia,G,V,C,62
2002,AUS,Australia,G,V,P,35
2002,AUT,Austria,G,V,P,418
2002,BEL,Belgium,G,V,P,23
2002,BEL,Belgium,G,V,P,211
2002,BGR,Bulgaria,G,V,P,6
2002,CAN,Canada,G,V,P,372
2002,CYP,Cyprus,G,V,P,19
2002,CZE,Czechia,G,V,C,899
2002,CZE,Czechia,G,V,C,1674
