Year,Country of Asylum Code,Country of Asylum Name,Population Type,Female 0-4,Female 5-11,Female 12-17,Female 18-59,Female 60 or more,Female Unknown,Female Total,Male 0-4,Male 5-11,Male 12-17,Male 18-59,Male 60 or more,Male Unknown,Male Total,Total
2001,ARG,Argentina,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2001,AUS,Australia,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259
2001,AUS,Australia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
2001,AUT,Austria,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
2001,AZE,Azerbaijan,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,BEL,Belgium,REF,0,0,0,0,0,82,82,0,0,0,0,0,106,106,188
2001,BLR,Belarus,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,CAN,Canada,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546
2001,CAN,Canada,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726
2001,COL,Colombia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,CYP,Cyprus,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
2001,CZE,Czechia,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3564
2001,CZE,Czechia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
2001,DNK,Denmark,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2001,DNK,Denmark,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
2001,ECU,Ecuador,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2001,ECU,Ecuador,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,EST,Estonia,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,FIN,Finland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2001,FRA,France,REF,0,0,0,0,0,202,202,0,0,0,0,0,205,205,407
2001,GBR,United Kingdom of Great Britain and Northern Ireland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260
2001,DEU,Germany,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211
2001,HUN,Hungary,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2001,HUN,Hungary,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2001,ISL,Iceland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2001,IRL,Ireland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
2001,ISR,Israel,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2001,ITA,Italy,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2001,MEX,Mexico,REF,0,0,0,0,0,0,0,0,0,0,6,0,0,6,6
2001,NLD,Netherlands,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352
2001,NLD,Netherlands,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444
2001,NOR,Norway,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
2001,PAN,Panama,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,PER,Peru,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,ZAF,South Africa,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,RUS,Russian Federation,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,RUS,Russian Federation,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2001,ESP,Spain,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
2001,SVK,Slovakia,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2001,SVN,Slovenia,ASY,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6
2001,SWE,Sweden,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236
2001,CHE,Switzerland,ASY,0,0,0,27,0,8,35,5,0,0,48,0,0,53,88
2001,CHE,Switzerland,REF,0,0,0,0,0,10,10,0,0,0,0,0,0,0,10
2001,URY,Uruguay,REF,0,0,0,0,9,0,9,0,0,0,5,0,0,5,14
2001,USA,United States of America,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772
2001,USA,United States of America,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24097
2002,ARG,Argentina,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
2002,ARG,Argentina,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,AUS,Australia,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125
2002,AUS,Australia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
2002,AUT,Austria,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
2002,BEL,Belgium,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173
2002,BLR,Belarus,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,BIH,Bosnia and Herzegovina,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,CAN,Canada,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570
2002,CAN,Canada,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712
2002,COL,Colombia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,CYP,Cyprus,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
2002,CZE,Czechia,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1983
2002,CZE,Czechia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
2002,DNK,Denmark,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2002,DNK,Denmark,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
2002,ECU,Ecuador,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,EST,Estonia,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,FIN,Finland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2002,FRA,France,REF,0,0,0,0,0,226,226,0,0,0,0,0,212,212,438
2002,GBR,United Kingdom of Great Britain and Northern Ireland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345
